ID,Date
8,30-Feb
8,27-Jun
5,5-Apr
1,4-Apr
1,10-Apr
13,9-May
14,5-Mar
7,1-Mar
0,28-Jun
18,27-May
18,27-May
4,29-Apr
17,14-May
17,16-Apr
14,9-Apr
0,17-Feb
15,12-May
18,0-May
14,20-Mar
6,20-Apr
11,1-Mar
6,28-Mar
6,15-Jun
16,23-Apr
13,21-Jun
11,0-May
1,27-Jun
18,16-May
10,20-Jan
6,11-Jun
5,26-Mar
2,10-May
16,16-May
10,16-Jun
1,22-Apr
17,5-Mar
9,3-Feb
4,6-Jun
16,20-Mar
18,24-Apr
12,9-May
12,4-May
6,10-Feb
11,8-Jan
0,1-Feb
1,28-Jan
8,22-Feb
6,1-Jan
4,19-Mar
3,11-Feb
11,10-Jan
3,10-Mar
13,20-Apr
1,10-Mar
3,23-Jun
18,0-Jun
9,13-Feb
18,8-Mar
19,0-Apr
3,12-Feb
18,12-Apr
9,25-Jun
8,26-Apr
3,30-Jan
13,7-Feb
6,14-Apr
3,27-Feb
3,16-Jan
17,27-Jan
0,0-Jan
17,17-May
9,30-Jan
2,8-May
1,19-Jun
11,25-Jan
14,7-Feb
14,7-Jun
11,8-May
6,11-Jan
0,6-Apr
16,28-Jun
2,29-Jun
4,21-Feb
1,15-May
17,23-Feb
11,8-Jun
8,13-Feb
10,24-May
15,9-May
2,10-Jan
10,18-Jun
19,7-Apr
7,10-Mar
6,24-Feb
17,25-Feb
5,5-Jun
14,30-Feb
18,29-Jan
11,22-Jan
12,8-Mar
1,13-Jan
11,23-Jun
19,14-Feb
19,27-Feb
12,8-Jan
13,29-Feb
15,27-Mar
13,6-Jun
11,9-Jun
1,18-Jan
14,24-Apr
2,0-Jan
8,13-Mar
17,10-Jun
7,14-Feb
1,12-Feb
16,11-Jun
17,14-May
8,22-Jun
11,14-Apr
14,24-Mar
12,30-Feb
14,14-Feb
13,14-Feb
18,13-Jun
11,20-May
12,19-May
8,18-Mar
15,1-Jun
8,25-Jun
