ID,Name,Value,Rank
0,task0,27,4
1,task1,17,3
2,task2,10,4
3,task3,9,1
4,task4,3,2
5,task5,25,1
6,task6,5,2
7,task7,14,3
8,task8,6,3
9,task9,13,4
10,task10,27,4
11,task11,7,3
12,task12,8,3
13,task13,23,4
14,task14,20,2
15,task15,13,4
16,task16,23,3
17,task17,25,2
18,task18,6,2
19,task19,21,3
20,task20,16,1
21,task21,20,2
22,task22,18,2
23,task23,6,4
24,task24,12,1
25,task25,6,2
26,task26,28,3
27,task27,11,1
28,task28,6,1
29,task29,14,4
30,task30,4,1
31,task31,6,4
32,task32,29,2
33,task33,24,4
34,task34,15,4
35,task35,16,4
36,task36,18,3
37,task37,22,3
38,task38,9,3
39,task39,8,4
