ID,Name,Value,Rank
0,task0,2,3
1,task1,2,2
2,task2,5,1
3,task3,4,4
4,task4,4,4
5,task5,2,2
6,task6,9,1
7,task7,7,1
8,task8,2,4
9,task9,10,2
10,task10,4,1
11,task11,8,1
12,task12,9,1
13,task13,4,2
14,task14,10,3
15,task15,4,4
16,task16,1,1
17,task17,8,1
18,task18,9,3
19,task19,4,3
20,task20,1,1
21,task21,4,3
22,task22,1,3
23,task23,10,1
24,task24,8,4
25,task25,9,4
26,task26,5,3
27,task27,2,1
28,task28,6,2
29,task29,9,1
30,task30,2,2
31,task31,2,2
32,task32,6,3
33,task33,1,3
34,task34,9,2
35,task35,2,1
36,task36,6,2
37,task37,2,3
38,task38,10,2
39,task39,3,1
