ID,Date
20,23-Jan
17,24-Mar
33,17-Jun
5,25-Jan
38,23-Feb
31,12-May
10,30-Feb
15,9-Apr
13,16-Mar
15,0-Jun
22,20-Mar
1,0-Jun
30,3-Apr
31,7-Jun
7,7-Mar
37,0-Feb
38,8-Mar
35,17-Feb
20,6-Mar
4,26-Jan
17,6-May
18,20-Mar
26,13-May
3,22-Jan
15,3-Apr
6,14-May
14,12-Apr
17,6-Apr
34,3-Feb
37,4-Apr
8,13-Apr
36,2-Jan
19,4-Apr
21,1-Feb
5,22-Mar
22,12-Mar
37,2-Feb
35,15-Feb
4,16-Jun
1,7-Jan
24,21-Mar
11,9-Jun
18,6-Jun
16,2-May
26,23-Feb
29,5-Jan
21,6-Jun
8,17-Apr
14,9-Jun
35,19-Feb
31,10-Apr
32,27-Apr
17,29-Mar
11,16-Jun
37,9-Jan
1,15-Jan
17,9-Jun
11,21-Apr
21,6-Jun
29,25-Jun
32,28-Feb
12,4-Jan
5,1-Jun
12,18-Jan
23,22-Feb
29,3-Feb
37,9-Apr
29,28-Feb
39,24-Jun
20,14-Feb
14,7-Jan
22,29-Jun
3,8-Mar
22,22-May
25,27-Apr
28,12-Mar
13,6-Jan
33,5-Mar
20,5-Apr
27,21-Jan
19,4-Jun
39,12-Jan
21,24-Apr
31,11-May
15,27-Jun
12,14-Feb
11,8-May
1,24-May
1,1-May
2,13-Jun
28,12-Mar
1,23-Jun
18,13-Apr
33,0-Jan
36,0-May
8,30-Feb
22,6-Mar
33,6-Apr
34,21-Mar
21,24-May
24,21-May
31,0-May
3,2-Jan
21,26-Feb
7,11-Jun
30,23-May
16,1-Jan
22,8-Apr
28,27-Feb
1,1-Jun
32,2-Jun
13,14-Apr
35,21-Jun
13,21-Jan
4,22-Apr
3,0-Feb
7,14-Jan
37,15-Jun
29,22-Jan
25,13-Apr
17,22-May
4,23-Apr
21,27-May
34,21-Apr
25,1-Jun
16,12-May
19,27-May
21,10-Feb
1,18-May
36,16-May
