ID,Date
9,9-Jun
36,2-May
14,15-Mar
2,25-May
33,7-Jun
2,11-Jan
8,27-Feb
31,8-Jun
33,27-Feb
33,19-Jun
27,20-Mar
35,5-Mar
32,2-May
22,6-Apr
10,8-Feb
8,17-Jan
39,6-Jan
42,1-Mar
2,0-Jun
5,30-Jun
31,18-Apr
34,4-Mar
38,19-Jan
18,24-Feb
16,21-Jan
15,6-Jun
18,26-May
3,3-Jan
8,0-Jun
7,19-Mar
39,18-Apr
27,28-May
23,19-Feb
35,26-Feb
34,12-Apr
23,16-Mar
23,16-May
9,5-Feb
16,4-Apr
40,20-Mar
1,27-May
25,25-Jan
1,17-Jun
35,20-Feb
28,3-Apr
32,0-Jan
4,22-Feb
11,25-Jan
20,25-Jan
0,6-Mar
23,20-Apr
6,16-Mar
35,18-Jan
14,2-Mar
43,8-May
16,23-Mar
12,27-Jun
8,8-May
43,0-May
15,1-Mar
14,26-Apr
16,2-May
37,18-Mar
1,7-Jan
31,13-May
8,22-Apr
19,4-Apr
42,7-May
20,27-Feb
42,1-Jun
43,25-Feb
7,7-Feb
12,14-Apr
17,23-Jan
35,0-Jan
42,20-May
13,29-Feb
25,1-Mar
38,12-Feb
15,0-Feb
39,27-Mar
6,0-Feb
4,7-May
21,30-Jan
3,2-Jan
21,21-May
14,6-May
10,7-Mar
34,1-May
19,24-Mar
41,4-Apr
24,27-Jan
27,13-Jun
14,26-Jan
18,12-May
14,10-Jun
8,24-Apr
22,10-Feb
12,24-Mar
10,21-Feb
4,19-Apr
5,20-May
32,18-May
33,28-Apr
11,3-Jun
43,22-Apr
43,2-Feb
13,5-Jun
41,27-Jun
27,0-Feb
11,25-Jan
17,16-Mar
34,3-May
15,5-May
4,16-Mar
42,22-Feb
22,9-Jun
16,15-Feb
8,4-Jun
32,27-Apr
27,23-Mar
20,15-Jun
41,9-Apr
21,8-Mar
31,30-Mar
36,14-Apr
1,23-Feb
4,22-Jun
21,27-Apr
16,20-Apr
