ID,Name,Value,Rank
0,task0,5,4
1,task1,17,3
2,task2,9,1
3,task3,26,4
4,task4,8,1
5,task5,3,1
6,task6,28,2
7,task7,26,4
8,task8,16,1
9,task9,16,4
10,task10,9,1
11,task11,25,1
12,task12,19,1
13,task13,25,4
14,task14,15,1
15,task15,25,1
16,task16,5,2
17,task17,9,1
18,task18,2,2
19,task19,7,4
20,task20,26,4
21,task21,28,4
22,task22,26,1
23,task23,16,4
24,task24,17,3
25,task25,14,2
26,task26,14,3
27,task27,4,1
28,task28,3,2
29,task29,28,4
30,task30,20,2
31,task31,5,3
32,task32,18,2
33,task33,1,4
34,task34,5,1
