ID,Date
9,28-Jun
18,6-Apr
7,9-Jun
18,2-Apr
11,2-Mar
2,3-May
11,11-Jan
5,9-Jan
17,26-Jan
18,21-Apr
12,10-Jan
11,17-Jan
10,23-Feb
17,11-Feb
18,20-Mar
17,22-May
6,30-Apr
15,9-Apr
18,21-Jun
7,27-Mar
10,8-Jun
0,6-May
19,15-Apr
16,1-May
17,13-May
11,9-Jan
1,8-Mar
8,21-Mar
10,26-Jan
14,28-Apr
5,15-Jan
10,11-Mar
17,10-Jun
19,1-Apr
9,21-Jan
0,28-May
19,14-Mar
13,19-Apr
5,27-Mar
3,10-Feb
6,1-Jan
14,21-Feb
15,3-Mar
5,20-Apr
15,27-Jan
1,26-Apr
1,5-May
17,9-Apr
18,2-Feb
17,11-Jan
18,13-Apr
9,9-Mar
5,16-May
6,19-Feb
5,20-Apr
4,5-May
15,6-Jan
2,21-May
13,17-Jun
19,2-May
9,2-Mar
10,8-Mar
9,3-Apr
17,9-Mar
12,20-Apr
13,7-Jun
18,9-Jun
10,6-Jun
4,30-May
5,28-Feb
17,28-Apr
11,21-May
10,17-Mar
19,6-Apr
17,6-Jun
10,19-Mar
11,14-Mar
1,18-Apr
13,4-Jun
8,20-Mar
18,30-Jun
1,12-May
13,13-May
11,12-May
13,14-Jan
18,10-Jun
16,25-Jan
7,5-Jan
9,11-May
4,2-Jan
14,7-Apr
9,16-Apr
10,24-Jan
8,24-Apr
4,13-Jun
9,9-Feb
6,14-May
13,29-Feb
19,14-Feb
4,2-Feb
19,18-Apr
17,21-May
10,15-Feb
9,30-Mar
18,7-Mar
1,24-May
19,5-Mar
10,5-Jan
9,25-Mar
12,4-Jun
0,6-May
6,12-Apr
9,9-Feb
2,14-Jun
13,29-Feb
3,4-Jun
14,14-Jun
3,30-Mar
6,28-Jan
19,27-Jan
15,13-Feb
2,0-Mar
13,29-Mar
11,29-Feb
16,21-Apr
18,8-Feb
12,19-Jan
3,11-Feb
8,15-Feb
8,9-Apr
