ID,Name,Value,Rank
0,task0,2,2
1,task1,9,1
2,task2,4,4
3,task3,6,3
4,task4,6,2
5,task5,5,3
6,task6,8,2
7,task7,3,1
8,task8,2,4
9,task9,4,4
10,task10,1,4
11,task11,3,4
12,task12,4,3
13,task13,3,3
14,task14,1,3
15,task15,9,3
16,task16,7,4
17,task17,2,2
18,task18,10,3
19,task19,9,2
20,task20,4,1
21,task21,5,4
22,task22,9,4
23,task23,8,1
24,task24,2,4
25,task25,3,4
26,task26,4,1
27,task27,1,4
28,task28,2,1
29,task29,10,1
30,task30,6,1
31,task31,1,4
32,task32,8,1
33,task33,5,2
34,task34,6,1
35,task35,4,3
