ID,Date
0,29-Mar
2,24-Mar
17,30-Jan
8,23-May
9,4-Mar
4,16-Jan
13,4-Mar
14,5-Jan
7,21-Mar
6,26-Jun
1,5-Apr
5,7-Mar
10,13-Apr
15,14-Jun
17,16-Mar
10,18-Jan
2,27-May
3,16-May
10,16-Jun
13,17-Mar
4,24-Jun
16,8-Apr
8,29-Apr
4,27-Feb
1,28-Mar
10,5-Mar
5,30-Apr
16,28-Jan
10,27-Apr
0,16-Jan
7,18-Feb
10,7-Feb
16,2-Jan
14,11-Feb
7,28-May
19,6-Feb
6,11-Jun
1,7-Jan
3,23-Apr
12,27-Jun
2,17-Mar
7,8-Feb
6,14-Apr
9,5-Apr
17,30-Apr
0,30-Feb
18,4-Apr
5,19-Jun
2,8-Mar
19,27-Jan
11,24-Jun
16,0-Jun
10,14-Jan
14,4-May
5,2-Apr
18,10-Jan
19,18-Mar
8,2-Mar
1,17-Mar
15,17-Jun
8,16-Mar
19,0-Jan
16,0-Jun
16,3-May
17,24-May
11,6-Apr
6,15-Jun
4,10-May
11,24-Feb
13,5-Apr
5,2-Mar
3,5-Jun
4,19-Apr
13,30-Jun
3,27-Apr
18,29-May
16,19-Mar
19,18-Mar
3,20-Mar
12,13-May
9,5-May
18,0-May
1,11-Jun
7,15-Jan
11,16-Mar
12,5-May
12,5-Mar
17,17-Jan
5,27-Apr
2,6-Jun
17,22-Jan
15,13-Jan
19,13-May
6,29-May
5,29-Jan
1,1-Feb
9,19-May
2,16-Apr
0,27-Jun
2,13-Jun
15,13-Jun
1,29-Jan
13,13-Jan
9,10-Feb
2,30-May
15,16-Apr
14,4-Jan
13,3-Jan
8,13-Feb
15,13-Jun
3,18-Mar
18,29-Mar
18,28-Feb
8,6-Apr
4,15-Jan
8,21-Jun
1,15-Apr
7,29-Mar
11,18-Mar
1,27-Jun
4,21-Mar
13,29-Mar
2,2-Mar
7,8-May
6,13-Mar
11,0-Feb
2,2-May
14,20-May
9,9-Jun
0,25-Jun
