ID,Name,Value,Rank
0,task0,4,4
1,task1,2,2
2,task2,8,1
3,task3,2,2
4,task4,9,2
5,task5,9,1
6,task6,9,4
7,task7,7,3
8,task8,9,4
9,task9,5,1
10,task10,3,3
11,task11,4,1
12,task12,9,4
13,task13,2,4
14,task14,10,3
15,task15,10,2
16,task16,3,4
17,task17,8,3
18,task18,5,1
19,task19,4,3
20,task20,8,1
21,task21,8,2
22,task22,9,4
23,task23,9,2
24,task24,10,1
25,task25,6,4
26,task26,5,3
27,task27,6,2
28,task28,7,4
29,task29,6,3
30,task30,6,4
31,task31,1,4
32,task32,8,1
33,task33,9,1
34,task34,1,1
35,task35,2,2
36,task36,3,3
37,task37,9,3
38,task38,2,2
39,task39,6,4
40,task40,7,1
41,task41,9,2
