ID,Date
8,10-Apr
24,11-Apr
13,12-Feb
24,17-Mar
34,16-Feb
3,15-Feb
14,18-May
28,1-Jan
21,21-Feb
21,22-Mar
3,18-Apr
30,27-Jun
8,0-Apr
11,10-Feb
15,24-May
10,23-Jan
8,13-Jun
19,12-Apr
0,25-Mar
22,7-Jun
25,10-Jun
2,15-Feb
25,27-Jun
17,11-Feb
14,20-Jun
27,0-Apr
14,29-Mar
20,2-Jun
12,25-Jan
26,17-May
19,14-Mar
13,9-Feb
20,13-Mar
18,20-Jun
13,24-Apr
33,24-May
14,22-Feb
18,2-Jan
25,6-Jun
6,26-Feb
8,7-Apr
7,22-Feb
30,23-May
0,18-Feb
23,17-Jan
4,14-Jan
15,10-May
24,1-Apr
24,21-May
9,11-May
28,2-May
14,28-Feb
2,28-Jun
1,14-May
16,21-Feb
5,1-Apr
5,22-Mar
8,22-Apr
26,11-May
5,18-May
27,8-Jun
1,8-Apr
25,28-Jan
30,0-Jan
11,28-May
34,11-Jun
20,1-May
25,3-May
14,5-Jan
33,5-Apr
2,14-May
11,9-May
1,5-Mar
0,15-Jan
28,21-May
14,0-Jan
27,0-Apr
29,7-Jun
5,7-Apr
13,11-Jun
21,7-May
13,21-Jan
10,5-Apr
20,6-Mar
26,10-Jan
14,6-Jan
32,5-Jun
33,14-Mar
20,29-Feb
23,11-Mar
10,8-Mar
3,13-Feb
13,6-Mar
13,13-Apr
22,17-Mar
12,4-May
35,6-Apr
8,9-Mar
14,21-Mar
11,17-May
13,3-Jun
34,19-Mar
11,15-Apr
20,16-Apr
1,28-Apr
25,26-Jan
9,18-Apr
18,13-Apr
3,2-Apr
29,29-Jun
18,6-Jan
29,4-Jan
30,22-Mar
19,11-Feb
0,2-Mar
20,10-May
3,27-Jun
20,13-Jan
30,20-Feb
33,14-Apr
3,20-Jan
27,7-Feb
2,26-Mar
27,2-May
16,29-Apr
5,19-Jan
28,0-Jan
17,0-Feb
15,5-Jan
23,2-Feb
