ID,Name,Value,Rank
0,task0,6,2
1,task1,5,4
2,task2,10,3
3,task3,9,3
4,task4,7,1
5,task5,1,3
6,task6,3,1
7,task7,1,4
8,task8,5,4
9,task9,9,4
10,task10,5,1
11,task11,6,1
12,task12,7,1
13,task13,9,1
14,task14,3,2
15,task15,8,3
16,task16,2,2
17,task17,5,2
18,task18,9,4
19,task19,7,4
20,task20,6,3
21,task21,7,3
22,task22,5,3
23,task23,7,4
24,task24,6,3
25,task25,5,4
26,task26,7,2
27,task27,1,2
28,task28,10,2
29,task29,6,4
30,task30,2,3
31,task31,10,2
32,task32,8,3
33,task33,1,3
34,task34,10,3
35,task35,4,2
36,task36,9,4
37,task37,10,2
38,task38,7,3
39,task39,4,3
40,task40,9,1
41,task41,4,2
42,task42,3,4
43,task43,10,4
44,task44,10,3
45,task45,2,1
