ID,Date
19,21-Jan
12,1-Feb
2,12-Feb
11,24-Apr
12,16-May
17,19-Feb
14,16-Jan
5,12-Mar
18,3-May
9,1-Jun
4,25-Feb
17,8-Feb
15,15-Apr
2,24-May
4,14-Jan
19,28-Apr
12,18-Apr
8,4-Feb
12,25-Mar
17,22-Apr
8,19-Feb
10,10-Jun
9,9-Jan
15,4-Mar
7,6-Feb
9,30-May
18,2-Apr
16,23-May
0,5-Mar
4,23-May
11,7-Mar
13,9-May
1,2-Apr
10,9-Apr
14,6-Feb
8,14-Jun
9,16-Jun
6,7-Apr
14,22-Jan
18,4-Mar
4,13-Apr
1,23-Apr
7,18-Mar
11,4-Feb
11,20-May
18,23-Apr
15,27-Jun
18,3-Apr
7,24-Feb
19,7-Jun
7,4-May
11,14-Mar
11,13-Jun
8,14-Jun
13,8-Apr
7,19-Jun
12,19-Mar
16,3-May
0,28-Mar
0,6-Feb
12,18-Feb
18,8-May
10,18-Mar
6,12-May
9,6-Apr
4,24-Jan
8,0-Jan
6,4-Jan
13,30-Mar
13,27-Apr
7,19-Apr
2,11-Apr
7,29-May
11,1-Jan
12,4-Jun
8,21-Apr
4,18-May
19,30-Apr
7,14-Jan
18,9-Mar
18,23-Jun
13,25-Jan
7,11-Jan
6,26-Jan
16,28-Jun
3,6-Feb
15,10-Jun
3,27-Jan
10,18-Mar
3,25-Mar
19,2-Jan
10,9-May
2,22-Feb
16,17-May
11,0-Apr
16,1-Jun
0,6-Mar
6,27-Jan
3,29-Feb
7,9-Feb
10,3-May
7,25-Jan
6,13-Feb
11,9-Mar
15,27-May
12,6-Feb
6,0-Apr
2,17-Apr
9,25-May
12,20-Feb
19,26-Mar
5,15-Jun
1,22-May
16,24-Feb
8,14-Mar
0,29-Apr
8,20-May
13,5-Jun
2,7-Feb
14,17-Apr
9,28-May
16,28-Apr
8,28-Apr
9,26-Mar
4,28-Mar
4,14-Jun
17,24-Apr
5,29-Feb
14,10-Jan
9,26-Jan
