ID,Date
1,18-Jan
19,0-Mar
9,6-May
14,23-May
18,29-Jun
0,2-Apr
10,4-Apr
11,2-Jun
9,6-Feb
4,29-Jun
19,20-Mar
3,28-Feb
16,1-Mar
16,28-Mar
7,4-May
3,4-Jan
5,18-Jun
7,4-Apr
16,12-Feb
8,6-Feb
19,16-Feb
5,26-Apr
3,14-Feb
6,27-Jan
13,30-Feb
8,27-May
5,2-Jun
19,18-Jun
19,18-Feb
19,19-May
10,2-Jan
11,0-May
2,13-Apr
4,22-Jun
15,5-Mar
16,1-May
19,11-May
13,2-Apr
10,19-Jan
9,7-Jun
2,4-Jun
13,14-Jan
11,10-May
0,21-Apr
8,17-Apr
19,11-Feb
18,7-Feb
11,2-Jan
13,16-Mar
15,28-May
9,12-Jun
9,27-Jun
1,10-Feb
16,27-Jun
4,29-Jan
13,24-Feb
4,11-Feb
14,0-Jun
7,18-Apr
14,22-Feb
12,8-May
3,17-Apr
2,17-Feb
8,20-Apr
14,13-Apr
3,7-Mar
7,0-Feb
11,27-Mar
13,30-May
6,16-May
10,27-Feb
7,0-Mar
19,16-Apr
19,15-Mar
1,8-Jan
1,0-Feb
8,5-Mar
15,21-Jan
8,2-Jun
14,15-Feb
15,12-May
12,28-Jun
5,0-Feb
17,4-Jan
13,4-Jun
1,30-Jun
4,4-May
12,3-Apr
4,22-Jun
6,22-Feb
3,1-Feb
17,11-Mar
10,25-Jan
12,29-Feb
1,25-Jun
16,27-May
6,24-Jun
10,28-May
0,16-Apr
9,2-Jun
4,5-Jan
2,23-Jun
7,29-Feb
5,17-Apr
7,4-Jun
19,11-Mar
17,28-Apr
14,9-Jun
7,22-Mar
19,13-Jan
5,29-Feb
0,11-Mar
12,22-Feb
10,20-Feb
9,4-Apr
2,6-Mar
12,23-Jun
6,6-Jun
4,13-May
1,18-Feb
8,4-Jun
18,22-Feb
8,22-Jan
14,4-Feb
14,6-Mar
0,15-Jun
11,27-Mar
1,19-Jan
11,5-Jan
7,12-Jun
